id,country_code,province_code,city_code,district_code,level,parent_code,province_name,city_name,district_name,short_city_name,city_tier,city_cluster,is_municipality,is_subprovincial,gdp,population,gdp_per_capita,income_per_capita,stats_year,citycode,center_lon,center_lat,created_at,updated_at
3362,CN,620000,621200,621228,district,621200,甘肃省,陇南市,两当县,,,,False,False,,,,,,2935,106.304973,33.908952,2025-12-05 23:50:09,2025-12-05 23:50:09
3363,CN,620000,621200,621224,district,621200,甘肃省,陇南市,康县,,,,False,False,,,,,,2935,105.608609,33.329212,2025-12-05 23:50:09,2025-12-05 23:50:09
3364,CN,620000,621200,621222,district,621200,甘肃省,陇南市,文县,,,,False,False,,,,,,2935,104.6835,32.944031,2025-12-05 23:50:09,2025-12-05 23:50:09
3365,CN,620000,621200,621202,district,621200,甘肃省,陇南市,武都区,,,,False,False,,,,,,2935,104.921861,33.400685,2025-12-05 23:50:09,2025-12-05 23:50:09
3366,CN,620000,621200,621225,district,621200,甘肃省,陇南市,西和县,,,,False,False,,,,,,2935,105.298756,34.014215,2025-12-05 23:50:09,2025-12-05 23:50:09
3367,CN,620000,621200,621226,district,621200,甘肃省,陇南市,礼县,,,,False,False,,,,,,2935,105.17864,34.189345,2025-12-05 23:50:09,2025-12-05 23:50:09
3368,CN,620000,621200,621223,district,621200,甘肃省,陇南市,宕昌县,,,,False,False,,,,,,2935,104.393385,34.047261,2025-12-05 23:50:09,2025-12-05 23:50:09
3369,CN,620000,622900,622927,district,622900,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,,,False,False,,,,,,0930,102.875939,35.717697,2025-12-05 23:50:09,2025-12-05 23:50:09
3370,CN,620000,622900,622925,district,622900,甘肃省,临夏回族自治州,和政县,,,,False,False,,,,,,0930,103.350996,35.424602,2025-12-05 23:50:09,2025-12-05 23:50:09
3371,CN,620000,622900,622901,district,622900,甘肃省,临夏回族自治州,临夏市,,,,False,False,,,,,,0930,103.24222,35.604682,2025-12-05 23:50:09,2025-12-05 23:50:09
3372,CN,620000,622900,622923,district,622900,甘肃省,临夏回族自治州,永靖县,,,,False,False,,,,,,0930,103.285853,35.958306,2025-12-05 23:50:09,2025-12-05 23:50:09
3373,CN,620000,622900,622924,district,622900,甘肃省,临夏回族自治州,广河县,,,,False,False,,,,,,0930,103.575582,35.488248,2025-12-05 23:50:09,2025-12-05 23:50:09
3374,CN,620000,622900,622921,district,622900,甘肃省,临夏回族自治州,临夏县,,,,False,False,,,,,,0930,103.04068,35.478726,2025-12-05 23:50:09,2025-12-05 23:50:09
3375,CN,620000,622900,622926,district,622900,甘肃省,临夏回族自治州,东乡族自治县,,,,False,False,,,,,,0930,103.388122,35.664409,2025-12-05 23:50:09,2025-12-05 23:50:09
3376,CN,620000,622900,622922,district,622900,甘肃省,临夏回族自治州,康乐县,,,,False,False,,,,,,0930,103.708507,35.370296,2025-12-05 23:50:09,2025-12-05 23:50:09
3377,CN,620000,623000,623021,district,623000,甘肃省,甘南藏族自治州,临潭县,,,,False,False,,,,,,0941,103.353665,34.693009,2025-12-05 23:50:09,2025-12-05 23:50:09
3378,CN,620000,623000,623022,district,623000,甘肃省,甘南藏族自治州,卓尼县,,,,False,False,,,,,,0941,103.506849,34.589476,2025-12-05 23:50:09,2025-12-05 23:50:09
3379,CN,620000,623000,623025,district,623000,甘肃省,甘南藏族自治州,玛曲县,,,,False,False,,,,,,0941,102.072608,33.998145,2025-12-05 23:50:09,2025-12-05 23:50:09
3380,CN,620000,623000,623027,district,623000,甘肃省,甘南藏族自治州,夏河县,,,,False,False,,,,,,0941,102.548303,35.203857,2025-12-05 23:50:09,2025-12-05 23:50:09
3381,CN,620000,623000,623026,district,623000,甘肃省,甘南藏族自治州,碌曲县,,,,False,False,,,,,,0941,102.487512,34.591084,2025-12-05 23:50:09,2025-12-05 23:50:09
3382,CN,620000,623000,623001,district,623000,甘肃省,甘南藏族自治州,合作市,,,,False,False,,,,,,0941,102.910305,35.000228,2025-12-05 23:50:09,2025-12-05 23:50:09
3383,CN,620000,623000,623024,district,623000,甘肃省,甘南藏族自治州,迭部县,,,,False,False,,,,,,0941,103.221735,34.055888,2025-12-05 23:50:09,2025-12-05 23:50:09
3384,CN,620000,623000,623023,district,623000,甘肃省,甘南藏族自治州,舟曲县,,,,False,False,,,,,,0941,104.251543,33.793695,2025-12-05 23:50:09,2025-12-05 23:50:09
3385,CN,630000,630100,630123,district,630100,青海省,西宁市,湟源县,,,,False,False,,,,,,0971,101.256464,36.682426,2025-12-05 23:50:09,2025-12-05 23:50:09
3386,CN,630000,630100,630121,district,630100,青海省,西宁市,大通回族土族自治县,,,,False,False,,,,,,0971,101.685503,36.926872,2025-12-05 23:50:09,2025-12-05 23:50:09
3387,CN,630000,630100,630104,district,630100,青海省,西宁市,城西区,,,,False,False,,,,,,0971,101.765915,36.628288,2025-12-05 23:50:09,2025-12-05 23:50:09
3388,CN,630000,630100,630105,district,630100,青海省,西宁市,城北区,,,,False,False,,,,,,0971,101.766308,36.650064,2025-12-05 23:50:09,2025-12-05 23:50:09
3389,CN,630000,630100,630106,district,630100,青海省,西宁市,湟中区,,,,False,False,,,,,,0971,101.571683,36.501291,2025-12-05 23:50:09,2025-12-05 23:50:09
3390,CN,630000,630100,630103,district,630100,青海省,西宁市,城中区,,,,False,False,,,,,,0971,101.705357,36.545545,2025-12-05 23:50:09,2025-12-05 23:50:09
3391,CN,630000,630100,630102,district,630100,青海省,西宁市,城东区,,,,False,False,,,,,,0971,101.803717,36.599744,2025-12-05 23:50:09,2025-12-05 23:50:09
3392,CN,630000,630200,630202,district,630200,青海省,海东市,乐都区,,,,False,False,,,,,,0972,102.401614,36.482242,2025-12-05 23:50:09,2025-12-05 23:50:09
3393,CN,630000,630200,630222,district,630200,青海省,海东市,民和回族土族自治县,,,,False,False,,,,,,0972,102.830775,36.320038,2025-12-05 23:50:09,2025-12-05 23:50:09
3394,CN,630000,630200,630225,district,630200,青海省,海东市,循化撒拉族自治县,,,,False,False,,,,,,0972,102.488958,35.851079,2025-12-05 23:50:09,2025-12-05 23:50:09
3395,CN,630000,630200,630224,district,630200,青海省,海东市,化隆回族自治县,,,,False,False,,,,,,0972,102.266031,36.096159,2025-12-05 23:50:09,2025-12-05 23:50:09
3396,CN,630000,630200,630203,district,630200,青海省,海东市,平安区,,,,False,False,,,,,,0972,102.108538,36.500166,2025-12-05 23:50:09,2025-12-05 23:50:09
3397,CN,630000,630200,630223,district,630200,青海省,海东市,互助土族自治县,,,,False,False,,,,,,0972,101.958519,36.844027,2025-12-05 23:50:09,2025-12-05 23:50:09
3398,CN,630000,632200,632223,district,632200,青海省,海北藏族自治州,海晏县,,,,False,False,,,,,,0970,100.994521,36.896667,2025-12-05 23:50:09,2025-12-05 23:50:09
3399,CN,630000,632200,632221,district,632200,青海省,海北藏族自治州,门源回族自治县,,,,False,False,,,,,,0970,101.611524,37.388567,2025-12-05 23:50:09,2025-12-05 23:50:09
3400,CN,630000,632200,632224,district,632200,青海省,海北藏族自治州,刚察县,,,,False,False,,,,,,0970,100.145662,37.325096,2025-12-05 23:50:09,2025-12-05 23:50:09
3401,CN,630000,632200,632222,district,632200,青海省,海北藏族自治州,祁连县,,,,False,False,,,,,,0970,100.253211,38.177112,2025-12-05 23:50:09,2025-12-05 23:50:09
3402,CN,630000,632300,632301,district,632300,青海省,黄南藏族自治州,同仁市,,,,False,False,,,,,,0973,102.018663,35.515769,2025-12-05 23:50:09,2025-12-05 23:50:09
3403,CN,630000,632300,632323,district,632300,青海省,黄南藏族自治州,泽库县,,,,False,False,,,,,,0973,101.466565,35.035322,2025-12-05 23:50:09,2025-12-05 23:50:09
3404,CN,630000,632300,632322,district,632300,青海省,黄南藏族自治州,尖扎县,,,,False,False,,,,,,0973,102.040094,35.943253,2025-12-05 23:50:09,2025-12-05 23:50:09
3405,CN,630000,632300,632324,district,632300,青海省,黄南藏族自治州,河南蒙古族自治县,,,,False,False,,,,,,0973,101.617719,34.734777,2025-12-05 23:50:09,2025-12-05 23:50:09
3406,CN,630000,632500,632523,district,632500,青海省,海南藏族自治州,贵德县,,,,False,False,,,,,,0974,101.43403,36.039672,2025-12-05 23:50:09,2025-12-05 23:50:09
3407,CN,630000,632500,632525,district,632500,青海省,海南藏族自治州,贵南县,,,,False,False,,,,,,0974,100.747731,35.587239,2025-12-05 23:50:09,2025-12-05 23:50:09
3408,CN,630000,632500,632522,district,632500,青海省,海南藏族自治州,同德县,,,,False,False,,,,,,0974,100.577859,35.254297,2025-12-05 23:50:09,2025-12-05 23:50:09
3409,CN,630000,632500,632524,district,632500,青海省,海南藏族自治州,兴海县,,,,False,False,,,,,,0974,99.987799,35.589086,2025-12-05 23:50:09,2025-12-05 23:50:09
3410,CN,630000,632500,632521,district,632500,青海省,海南藏族自治州,共和县,,,,False,False,,,,,,0974,100.619405,36.284158,2025-12-05 23:50:09,2025-12-05 23:50:09
3411,CN,630000,632600,632621,district,632600,青海省,果洛藏族自治州,玛沁县,,,,False,False,,,,,,0975,100.238873,34.478049,2025-12-05 23:50:09,2025-12-05 23:50:09
3412,CN,630000,632600,632623,district,632600,青海省,果洛藏族自治州,甘德县,,,,False,False,,,,,,0975,99.900923,33.969216,2025-12-05 23:50:09,2025-12-05 23:50:09
3413,CN,630000,632600,632625,district,632600,青海省,果洛藏族自治州,久治县,,,,False,False,,,,,,0975,101.482831,33.429471,2025-12-05 23:50:09,2025-12-05 23:50:09
3414,CN,630000,632600,632624,district,632600,青海省,果洛藏族自治州,达日县,,,,False,False,,,,,,0975,99.651863,33.739293,2025-12-05 23:50:09,2025-12-05 23:50:09
3415,CN,630000,632600,632622,district,632600,青海省,果洛藏族自治州,班玛县,,,,False,False,,,,,,0975,100.737138,32.932723,2025-12-05 23:50:09,2025-12-05 23:50:09
3416,CN,630000,632600,632626,district,632600,青海省,果洛藏族自治州,玛多县,,,,False,False,,,,,,0975,98.209217,34.915645,2025-12-05 23:50:09,2025-12-05 23:50:09
3417,CN,630000,632700,632724,district,632700,青海省,玉树藏族自治州,治多县,,,,False,False,,,,,,0976,95.618954,33.844854,2025-12-05 23:50:09,2025-12-05 23:50:09
3418,CN,630000,632700,632726,district,632700,青海省,玉树藏族自治州,曲麻莱县,,,,False,False,,,,,,0976,95.805463,34.137353,2025-12-05 23:50:09,2025-12-05 23:50:09
3419,CN,630000,632700,632723,district,632700,青海省,玉树藏族自治州,称多县,,,,False,False,,,,,,0976,97.109487,33.377504,2025-12-05 23:50:09,2025-12-05 23:50:09
3420,CN,630000,632700,632722,district,632700,青海省,玉树藏族自治州,杂多县,,,,False,False,,,,,,0976,95.300723,32.893185,2025-12-05 23:50:09,2025-12-05 23:50:09
3421,CN,630000,632700,632701,district,632700,青海省,玉树藏族自治州,玉树市,,,,False,False,,,,,,0976,97.009184,32.992934,2025-12-05 23:50:09,2025-12-05 23:50:09
3422,CN,630000,632700,632725,district,632700,青海省,玉树藏族自治州,囊谦县,,,,False,False,,,,,,0976,96.489538,32.203193,2025-12-05 23:50:09,2025-12-05 23:50:09
3423,CN,630000,632800,632823,district,632800,青海省,海西蒙古族藏族自治州,天峻县,,,,False,False,,,,,,0977,99.02297,37.301206,2025-12-05 23:50:09,2025-12-05 23:50:09
3424,CN,630000,632800,632802,district,632800,青海省,海西蒙古族藏族自治州,德令哈市,,,,False,False,,,,,,0977,97.361528,37.369865,2025-12-05 23:50:09,2025-12-05 23:50:09
3425,CN,630000,632800,632801,district,632800,青海省,海西蒙古族藏族自治州,格尔木市,,,,False,False,,,,,,0977,94.928293,36.407272,2025-12-05 23:50:09,2025-12-05 23:50:09
3426,CN,630000,632800,632822,district,632800,青海省,海西蒙古族藏族自治州,都兰县,,,,False,False,,,,,,0977,98.095889,36.302098,2025-12-05 23:50:09,2025-12-05 23:50:09
3427,CN,630000,632800,632821,district,632800,青海省,海西蒙古族藏族自治州,乌兰县,,,,False,False,,,,,,0977,98.47988,36.941279,2025-12-05 23:50:09,2025-12-05 23:50:09
3428,CN,630000,632800,632825,district,632800,青海省,海西蒙古族藏族自治州,海西蒙古族藏族自治州直辖,,,,False,False,,,,,,0977,95.357233,37.853631,2025-12-05 23:50:09,2025-12-05 23:50:09
3429,CN,630000,632800,632803,district,632800,青海省,海西蒙古族藏族自治州,茫崖市,,,,False,False,,,,,,0977,90.856372,38.247537,2025-12-05 23:50:09,2025-12-05 23:50:09
3430,CN,640000,640100,640181,district,640100,宁夏回族自治区,银川市,灵武市,,,,False,False,,,,,,0951,106.339978,38.102456,2025-12-05 23:50:09,2025-12-05 23:50:09
3431,CN,640000,640100,640106,district,640100,宁夏回族自治区,银川市,金凤区,,,,False,False,,,,,,0951,106.239339,38.474277,2025-12-05 23:50:09,2025-12-05 23:50:09
3432,CN,640000,640100,640104,district,640100,宁夏回族自治区,银川市,兴庆区,,,,False,False,,,,,,0951,106.288452,38.473972,2025-12-05 23:50:09,2025-12-05 23:50:09
3433,CN,640000,640100,640121,district,640100,宁夏回族自治区,银川市,永宁县,,,,False,False,,,,,,0951,106.25337,38.277376,2025-12-05 23:50:09,2025-12-05 23:50:09
3434,CN,640000,640100,640105,district,640100,宁夏回族自治区,银川市,西夏区,,,,False,False,,,,,,0951,106.161208,38.502325,2025-12-05 23:50:09,2025-12-05 23:50:09
3435,CN,640000,640100,640122,district,640100,宁夏回族自治区,银川市,贺兰县,,,,False,False,,,,,,0951,106.365074,38.579147,2025-12-05 23:50:09,2025-12-05 23:50:09
3436,CN,640000,640200,640205,district,640200,宁夏回族自治区,石嘴山市,惠农区,,,,False,False,,,,,,0952,106.781013,39.239292,2025-12-05 23:50:09,2025-12-05 23:50:09
3437,CN,640000,640200,640202,district,640200,宁夏回族自治区,石嘴山市,大武口区,,,,False,False,,,,,,0952,106.368128,39.019375,2025-12-05 23:50:09,2025-12-05 23:50:09
3438,CN,640000,640200,640221,district,640200,宁夏回族自治区,石嘴山市,平罗县,,,,False,False,,,,,,0952,106.523411,38.913923,2025-12-05 23:50:09,2025-12-05 23:50:09
3439,CN,640000,640300,640323,district,640300,宁夏回族自治区,吴忠市,盐池县,,,,False,False,,,,,,0953,107.407184,37.783276,2025-12-05 23:50:09,2025-12-05 23:50:09
3440,CN,640000,640300,640302,district,640300,宁夏回族自治区,吴忠市,利通区,,,,False,False,,,,,,0953,106.235842,38.00298,2025-12-05 23:50:09,2025-12-05 23:50:09
3441,CN,640000,640300,640303,district,640300,宁夏回族自治区,吴忠市,红寺堡区,,,,False,False,,,,,,0953,106.06216,37.425494,2025-12-05 23:50:09,2025-12-05 23:50:09
