old_mall_name,new_name
胖东来天使城,胖东来时代广场
大庆百脑汇,大庆百货大楼
深圳宝安机场,茂业天地
百盛(南昌中山店),百盛A馆
万达广场(沈阳太原街店),万达广场
万达广场(贵阳观山湖店),万达广场
新光天地B区,SKLP(新光里+)
万达广场(青岛CBD店),万达广场
万达广场(东营北一路店),万达广场
万达广场(哈尔滨哈西店),万达广场
北京中关村领展广场,新中关购物中心
时光里北塔,时光汇
金湾华发商都A馆,横琴华发商都
金沙洲金铂天地,金铂中心
永旺梦乐城西馆,吾悦广场
中国铁建·南沙环宇城,南沙悠方天地
京东MALL(南京大明路店),郁金香华联商厦
永庆坊,恒宝广场
赣州泽丰环球汇,云星世纪广场
深圳欢乐海岸,深圳湾后海汇
哈尔滨西城红场,哈尔滨华南城B区
万科广场(东莞长安店),东莞长安万达广场
丽影广场,丽柏广场
天府艺术公园,天府招商花园城
五象万象汇,南宁万象城
信万广场,万科生活广场
长春欧亚卖场,欧亚购物中心
怀德万象汇,万象前海
星斓荟,星光天地
昆明万象城,昆明恒旺广场
西安龙湖长乐天街,龙湖西安未央天街
广粤天地,广州百货
