mall_code,name,city_name,district_name,existing_poi,status,candidate_poi_id,candidate_name,score,distance_m,need_review,action,lat,lng
MALL_00187C52,茂业天地,成都市,锦江区,B001C7XDNT,matched,B001C933QY,茂业百货,79.97,802.4,True,mismatch_review,30.65698,104.070207
MALL_F6B16B25,吾悦广场(建设中),天津城区,宝坻区,B0H2CRSNQI,matched,B0H2CRSNQI,吾悦广场(潮阳大道店)(建设中),50.0,0.0,True,kept_existing,39.688573,117.305433
MALL_C06E465E,万达广场(建设中),天津城区,静海区,B0HG0R1XME,matched,B0HG0R1XME,万达广场(天津静海店)(建设中),50.0,0.0,True,kept_existing,38.942831,116.956106
MALL_77B4D9FB,购物中心,亳州市,利辛县,B0KK7BO9EQ,matched,B0KK7BO9EQ,购物中心,0.0,0.0,True,kept_existing,33.314856,116.00511
MALL_6D19D419,购物中心,亳州市,蒙城县,B0JRVUHZP5,matched,B0JRVUHZP5,购物中心,0.0,0.0,True,kept_existing,33.033425,116.576275
MALL_2C763503,万达广场(建设中),六安市,裕安区,B0JUNCD3DL,matched,B0JUNCD3DL,万达广场(六安裕安店)(建设中),50.0,0.0,True,kept_existing,31.747122,116.479257
MALL_1B206B10,万达广场-北区,六安市,金安区,B0LU1DCANH,matched,B0LU1DCANH,万达广场(六安金安店)-北区,50.0,0.0,True,kept_existing,31.761716,116.510038
MALL_D58D4ABE,购物中心,六安市,霍邱县,B0H0R5BH3K,matched,B0H0R5BH3K,购物中心,0.0,0.0,True,kept_existing,32.527866,115.931669
MALL_8B1BF302,商业中心,合肥市,肥东县,B0FFKXTUD8,matched,B0FFKXTUD8,商业中心(恒大绿洲店),0.0,0.0,True,kept_existing,31.850049,117.478037
MALL_467BBFAA,购物广场,安庆市,太湖县,B0JRNS86F7,matched,B0JRNS86F7,购物广场,0.0,0.0,True,kept_existing,30.432999,116.411545
MALL_1275D189,购物中心,安庆市,宿松县,B0H3FDA61F,matched,B0H3FDA61F,购物中心,0.0,0.0,True,kept_existing,30.154888,116.143871
MALL_F97130D6,购物中心,安庆市,怀宁县,B0G0NXYKXX,matched,B0G0NXYKXX,购物中心(高宾大厦店),0.0,0.0,True,kept_existing,30.722929,116.833692
MALL_427A28E0,万达广场(装修中),安庆市,迎江区,B0G3AHE1CL,matched,B0G3AHE1CL,万达广场(安庆店)(装修中),50.0,0.0,True,kept_existing,30.534501,117.132194
MALL_6226DB72,购物中心,宿州市,砀山县,B0HKHSBFIJ,matched,B0HKHSBFIJ,购物中心(星海城店),0.0,0.0,True,kept_existing,34.419446,116.328574
MALL_CF954C70,购物广场,淮南市,寿县,B0HGCLID6R,matched,B0HGCLID6R,购物广场,0.0,0.0,True,kept_existing,32.395704,116.595049
MALL_AC3B683A,商业中心,滁州市,琅琊区,B0H0VS1I85,matched,B0H0VS1I85,商业中心,0.0,0.0,True,kept_existing,32.34421,118.322097
MALL_AED8968D,购物中心,芜湖市,无为市,B0H0TUPS8R,matched,B0H0TUPS8R,购物中心,0.0,0.0,True,kept_existing,31.114429,117.946718
MALL_E0031BE9,商业中心,芜湖市,鸠江区,B0H0CAUV8Q,matched,B0H0CAUV8Q,商业中心,0.0,0.0,True,kept_existing,31.368493,118.416413
MALL_9FF04F87,购物中心,阜阳市,界首市,B0HKNLSJFZ,matched,B0HKNLSJFZ,购物中心,0.0,0.0,True,kept_existing,33.092621,115.439461
MALL_1DA85070,奥特莱斯,阜阳市,阜南县,B0FFKCI80J,matched,B0FFKCI80J,奥特莱斯,0.0,0.0,True,kept_existing,32.674889,115.615665
MALL_C6F92704,奥特莱斯,阜阳市,颍上县,B0H0RCAG9U,matched,B0H0RCAG9U,奥特莱斯(颍上店),0.0,0.0,True,kept_existing,32.643801,116.262795
MALL_AAC70A65,泰盛家和,临沂市,郯城县,B0FFHW06A0,matched,B0FFFF9UUH,泰盛家和广场,79.2,863.8,True,mismatch_review,34.610871,118.342145
MALL_B0EC14F6,万达广场(建设中),枣庄市,市中区,B0JK675GIX,matched,B0JK675GIX,万达广场(衡山路店)(建设中),50.0,0.0,True,kept_existing,34.844025,117.522095
MALL_0B4FFFF5,华联通信城,枣庄市,滕州市,B0FFKDGMC5,matched,B0IR3HK2KX,华联通信城,89.61,31.4,True,mismatch_review,35.086211,117.157296
MALL_F8220C7F,购物广场,泰安市,岱岳区,B0I16OY64Y,matched,B0I16OY64Y,购物广场,0.0,0.0,True,kept_existing,35.952743,117.097534
MALL_80C953CD,金街,淄博市,高青县,B0FFJBWDKA,matched,B0FFJBWDKA,金街(银座商城店),0.0,0.0,True,kept_existing,37.164848,117.839627
MALL_A36BD8F8,奥特莱斯,滨州市,博兴县,B0L3RKMSFO,matched,B0L3RKMSFO,奥特莱斯,0.0,0.0,True,kept_existing,37.141025,118.137425
MALL_4A3B4BAE,万达广场(建设中),滨州市,惠民县,B0I1CUAZXP,matched,B0I1CUAZXP,万达广场(滨州惠民店)(建设中),50.0,0.0,True,kept_existing,37.479884,117.577349
MALL_A074E1BC,亿佰家购物中心,潍坊市,临朐县,B0GDR5DCNR,matched,B021803ICP,亿佰家生活超市中心店,75.0,0.0,True,mismatch_review,36.513639,118.543679
MALL_A4062589,购物中心,潍坊市,临朐县,B0FFMHPFWM,matched,B0FFMHPFWM,购物中心,0.0,0.0,True,kept_existing,36.182358,118.480666
MALL_E61A7E47,购物中心,聊城市,冠县,B0LBKHM868,matched,B0LBKHM868,购物中心,0.0,0.0,True,kept_existing,36.637145,115.609465
MALL_2A4DCD9E,购物中心,青岛市,胶州市,B0H2NCH62M,matched,B0H2NCH62M,购物中心,0.0,0.0,True,kept_existing,36.059095,119.78919
MALL_26501140,梦想城婚纱摄影总公司,临汾市,尧都区,B0FFFTT16Y,matched,B0L6OZ34O3,梦想城婚纱摄影总公司,89.62,30.1,True,mismatch_review,36.054123,111.486741
MALL_417D9B01,购物中心,大同市,新荣区,B0HGJSHC8X,matched,B0HGJSHC8X,购物中心,0.0,0.0,True,kept_existing,40.256393,113.132245
MALL_DF0CBB62,奥特莱斯,太原市,晋源区,B0L3C6HJHA,matched,B0L3C6HJHA,奥特莱斯,0.0,0.0,True,kept_existing,37.750125,112.515375
MALL_B73141F7,购物中心,忻州市,五台县,B015E005W9,matched,B015E005W9,购物中心,0.0,0.0,True,kept_existing,38.722581,113.259522
MALL_2E025541,购物中心,忻州市,五寨县,B0FFIUAGBV,matched,B0FFIUAGBV,购物中心,0.0,0.0,True,kept_existing,38.911311,111.842353
