change_type,mall_code,name,old_category,new_category,old_level,new_level,reason
category,MALL_8BCBA221,森岛商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_D19F1496,金洋商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_2406AD2C,中泰商场,department_store,shopping_mall,,,typecode_0601
category,MALL_B1309FA9,供销商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_2EEE9684,八步区江南生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_602275EB,华天商场,department_store,shopping_mall,,,typecode_0601
category,MALL_92742CDC,华生购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_619AC50C,富亮商场,department_store,shopping_mall,,,typecode_0601
category,MALL_953EA95F,德信购物商场,department_store,shopping_mall,,,keyword_shopping
category,MALL_D746EFB3,恒兴购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_6DC7C105,恒安居商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_D20F6B4B,汇美,department_store,shopping_mall,,,typecode_0601
category,MALL_6C94BFA0,灵峰广场地下商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_A8AA2BB6,爱莲生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_3B48DF4B,贺州商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_C06E12D8,金三角商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_9BBE0FEA,金星商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_41B238AC,长湾惠万家购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_C22D6EE4,龙庭灯城,department_store,shopping_mall,,,keyword_shopping
category,MALL_4DEDD037,汇龙商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_1A80EB64,碧水商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_3FB33036,北陀商场,department_store,shopping_mall,,,typecode_0601
category,MALL_1803FBD9,天富商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_8E0E6938,泰兴时代广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_70B88DD5,钟山鑫达商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_50DEDC41,东方商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_45EE4645,六银百佳购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_3AF7A97E,兴华荣和商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_42F9247E,大世界商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_A9414D82,天宇商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_DE9464B0,天隆万象广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_7C278084,宏泰商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_9CB65834,乐宜商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_3E2731BB,光大·新生活-光大5期,department_store,lifestyle_center,,,keyword_lifestyle
category,MALL_5819103D,光大商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_ACBCACDB,博华商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_1C559B4B,大世界商场,department_store,shopping_mall,,,typecode_0601
category,MALL_7CBE9A0D,小天才步步高,department_store,shopping_mall,,,typecode_0601
category,MALL_585C0AE0,美食购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_791D33C4,那隆佳汇购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_6EF67B01,金海商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_CD40BEBF,富康商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_6C663F6B,小董商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_C4365FFA,海树商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_1FEEC717,爱买商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_225137F8,红海豚商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_6C6CFDCA,吾悦广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_06155C0E,大世界万兴家电商场,department_store,shopping_mall,,,typecode_0601
category,MALL_42E0F02F,海名轩·海逸轩商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_18F1D491,犀牛脚供销社商场,department_store,shopping_mall,,,typecode_0601
category,MALL_7BB97135,艺华商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_B1F80A75,钦州鑫莱商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_8A6AA702,雄泰荟商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_DFE1C961,明江商场,department_store,shopping_mall,,,typecode_0601
category,MALL_F5575A98,温州商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_02833FA4,东盟批发商场,department_store,shopping_mall,,,typecode_0601
category,MALL_6957A694,九运口岸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_2C380AAA,京街商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_6DAE1258,冠中购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_E4D8D4AB,国门国际批发商场,department_store,shopping_mall,,,typecode_0601
category,MALL_0B152A28,大树商场,department_store,shopping_mall,,,typecode_0601
