mall_code,name,city_name,district_name,existing_poi,status,candidate_poi_id,candidate_name,score,distance_m,need_review,action
MALL_09AFA6F4,啦啦宝都(LaLaport)上海金桥店,上海城区,浦东新区,B0HB4U9JVP,matched,B0HB4U9JVP,啦啦宝都(LaLaport)上海金桥店,90.0,0.0,False,kept_existing
MALL_B1C56013,复地活力城,上海城区,浦东新区,B0FFLJY7Z3,matched,B0FFLJY7Z3,复地活力城,90.0,0.0,False,kept_existing
MALL_68A2D93B,巴黎春天,上海城区,浦东新区,B00155G5JB,matched,B00155G5JB,巴黎春天(浦建店),75.0,0.0,False,kept_existing
MALL_AFCB5611,招商花园城,上海城区,浦东新区,B0I1Y56U0T,matched,B0I1Y56U0T,招商花园城,90.0,0.0,False,kept_existing
MALL_A5B460B1,新达汇·三林,上海城区,浦东新区,B0GUG717MT,matched,B0GUG717MT,新达汇·三林,90.0,0.0,False,kept_existing
MALL_8D97A9CE,晶耀前滩Crystal Plaza,上海城区,浦东新区,B0FFHR3DEP,matched,B0FFHR3DEP,晶耀前滩Crystal Plaza,90.0,0.0,False,kept_existing
MALL_411834A9,正大广场,上海城区,浦东新区,B00155L44U,matched,B00155L44U,正大广场,90.0,0.0,False,kept_existing
MALL_52C76D5E,比斯特上海购物村,上海城区,浦东新区,B0FFGNSTVR,matched,B0FFGNSTVR,比斯特上海购物村,90.0,0.0,False,kept_existing
MALL_E01C886E,汇智国际商业中心,上海城区,浦东新区,B0FFF00G4B,matched,B0FFF00G4B,汇智国际商业中心,90.0,0.0,False,kept_existing
MALL_E550344D,百联川沙购物中心,上海城区,浦东新区,B0FFFE9H63,matched,B0FFFE9H63,百联川沙购物中心,90.0,0.0,False,kept_existing
MALL_3D262231,金桥国际商业广场,上海城区,浦东新区,B0HBKOTXCC,matched,B0HBKOTXCC,金桥国际商业广场,90.0,0.0,False,kept_existing
MALL_6E28675B,龙阳广场,上海城区,浦东新区,B0FFF2LJB6,matched,B0FFF2LJB6,龙阳广场,90.0,0.0,False,kept_existing
