mall_id,mall_name,original_name,mall_lat,mall_lng,amap_poi_id,city,source,store_count,dji_reported,dji_exclusive,dji_target,dji_opened,insta_opened,province
MALL_00407,IFS国金购物中心,IFS国金购物中心,28.19246,112.978724,B0HAK9J7KY,长沙市,api,2,0,0,0,1,1,湖南省
MALL_00408,上海真如环宇城MAX,上海真如环宇城MAX,31.250251,121.409564,B0H37CC65S,上海市,api,1,0,0,0,1,0,上海市
MALL_00409,六安金安万达,六安金安万达,31.762161,116.508069,B0LR6HFTD1,六安市,api,1,1,0,0,1,0,安徽省
MALL_00411,万达广场(玉林店),万达广场(玉林店),22.635228,110.180771,B0FFHQBONJ,玉林市,api,1,0,0,0,1,0,广西壮族自治区
MALL_00413,上海新天地南北里,上海新天地南北里,31.219917,121.474949,B0FFK0XU84,上海市,api,1,0,0,0,1,0,上海市
MALL_00415,京西大悦城,京西大悦城,39.925501,116.183412,B0FFIIGLAD,北京市,api,1,0,0,0,1,0,北京市
MALL_00416,西安荟聚,西安荟聚,34.172518,108.901422,B0GUKHBZ0E,西安市,api,1,0,0,0,1,0,陕西省
MALL_00417,石家庄欢乐汇,石家庄欢乐汇,37.994765,114.533666,B0K2L5OX84,石家庄市,api,1,0,0,0,1,0,河北省
MALL_00418,南京弘阳广场B馆,南京弘阳广场B馆,32.137172,118.725633,B0GK2CJC4X,南京市,api,2,0,0,0,1,1,江苏省
MALL_00419,吾悦广场,吾悦广场,36.657852,101.755954,B0FFKS8VYG,西宁市,api,1,0,1,1,1,0,青海省
MALL_00420,环贸iapm商场,环贸iapm商场,31.215404,121.458129,B00156GS83,上海市,api,1,0,0,0,1,0,上海市
MALL_00421,沈阳京东 MALL,沈阳京东 MALL,41.805247,123.484684,,沈阳市,store_coordinate,1,0,0,1,1,0,辽宁省
MALL_00422,光环购物公园,光环购物公园,29.650527,106.529275,B0G0XNX46G,重庆市,api,1,0,0,0,1,0,重庆市
MALL_00423,南京国金中心,南京国金中心,31.993867,118.721746,,南京市,store_coordinate,1,0,0,0,1,0,江苏省
MALL_00424,上海市闵行区申达一路1号虹桥机场二号航站楼,上海市闵行区申达一路1号虹桥机场二号航站楼,31.194206,121.316684,,上海市,store_coordinate,1,0,0,0,1,0,上海市
MALL_00425,龙湖北京亦庄天街,龙湖北京亦庄天街,39.753035,116.492452,B0HUNABECE,北京市,api,2,0,0,0,1,1,北京市
MALL_00426,景枫中心,景枫中心,31.929897,118.820195,B0FFH431LX,南京市,api,2,0,0,0,1,1,江苏省
MALL_00428,昆明万象城,昆明万象城,25.029411,102.733956,B0FFIWJR1V,昆明市,api,1,0,0,0,1,0,云南省
MALL_00429,NOVA岭南站,NOVA岭南站,23.027504,113.113054,B0FFH58S3D,佛山市,api,1,0,1,0,1,0,广东省
MALL_00430,吾悦广场(常州天宁店),吾悦广场(常州天宁店),31.764664,120.009543,B0FFIR5DD9,常州市,api,1,0,0,0,1,0,江苏省
MALL_00431,常州购物中心,常州购物中心,31.774698,119.96318,B020704AAF,常州市,api,1,0,0,1,1,0,江苏省
MALL_00432,赣州万象城,赣州万象城,25.81599,114.92538,B0FFI19SR2,赣州市,api,1,0,0,0,1,0,江西省
MALL_00433,宜宾万象汇,宜宾万象汇,28.790549,104.679825,B0GK0SA0S8,宜宾市,api,1,0,0,0,1,0,四川省
MALL_00434,Lion Mall金狮广场,Lion Mall金狮广场,36.095611,120.46446,B0FFGI1V72,青岛市,api,1,0,1,0,1,0,山东省
MALL_00435,唐山万达广场,唐山万达广场,39.624453,118.186511,B013B0QGID,唐山市,api,1,0,0,0,1,0,河北省
MALL_00436,番禺天河城,番禺天河城,23.003447,113.348532,B0GRN578OL,广州市,api,2,0,0,0,1,1,广东省
MALL_00437,西青大悦汇,西青大悦汇,39.140372,117.090259,B0JA4ZSH04,天津市,api,1,0,1,0,1,0,天津市
MALL_00438,永盛购物中心,永盛购物中心,29.101063,119.653136,B024315IOJ,金华市,api,2,0,1,0,1,1,浙江省
MALL_00439,石岐万象汇,石岐万象汇,22.52081,113.387951,B0HK7MJ1R6,中山市,api,2,0,0,0,1,1,广东省
MALL_00440,永旺梦乐城西馆,永旺梦乐城西馆,35.931958,120.164474,B0FFLJHBXK,青岛市,api,1,0,0,1,1,0,山东省
MALL_00441,世博源,世博源,31.183285,121.492654,B00155QZKZ,上海市,api,2,0,0,1,1,1,上海市
MALL_00442,美美MM购物中心,美美MM购物中心,43.820145,87.588226,B0FFFEFWME,乌鲁木齐市,api,1,0,1,0,1,0,新疆维吾尔自治区
MALL_00443,百联西郊购物中心,百联西郊购物中心,31.209086,121.370279,B00150B090,上海市,api,1,0,0,0,1,0,上海市
MALL_00444,中骏世界城,中骏世界城,26.032119,119.321948,B0GDSHRF68,福州市,api,2,0,1,0,1,1,福建省
MALL_00445,万象汇,万象汇,22.278607,113.558819,B0FFILKIIE,珠海市,api,1,0,1,0,1,0,广东省
MALL_00446,银泰百货(蚌埠店),银泰百货(蚌埠店),32.916662,117.368188,B0FFGGYRYI,蚌埠市,api,1,0,0,0,1,0,安徽省
MALL_00448,江南环球港,江南环球港,31.840285,119.979663,B02070TSSC,常州市,api,1,0,0,0,1,0,江苏省
MALL_00449,五象万象汇,五象万象汇,22.72481,108.384916,B0GKP7Z3ZJ,南宁市,api,1,0,0,0,1,0,广西壮族自治区
MALL_00450,长春万象城,长春万象城,43.87947,125.326745,B0H01OQYPX,长春市,api,2,0,0,0,1,1,吉林省
MALL_00451,万达广场(包头青山店),万达广场(包头青山店),40.658539,109.853362,B01D80PF41,包头市,api,1,0,0,0,1,0,内蒙古自治区
MALL_00452,富逸城TopPark,富逸城TopPark,22.52336,113.41782,B0KRSH8PQX,中山市,api,1,0,0,0,1,0,广东省
MALL_00453,西安大融城,西安大融城,34.338696,108.948671,B0FFIS0P3E,西安市,api,1,0,1,0,1,0,陕西省
MALL_00454,西安南门王府井,西安南门王府井,34.250396,108.936336,,西安市,store_coordinate,1,0,1,0,1,0,陕西省
MALL_00455,万科广场,万科广场,26.522078,106.711704,B0FFG6FN97,贵阳市,api,1,0,0,0,1,0,贵州省
