mall_code,name,existing_poi,candidate_poi,chosen_poi,existing_dist_m,candidate_dist_m,reason
MALL_F97130D6,购物中心,B0G0NXYKXX,B0G0NXYKXX,B0G0NXYKXX,0.0,0.0,switched_better_distance
MALL_427A28E0,万达广场(装修中),B0G3AHE1CL,B0G3AHE1CL,B0G3AHE1CL,0.0,0.0,switched_better_distance
MALL_6226DB72,购物中心,B0HKHSBFIJ,B0HKHSBFIJ,B0HKHSBFIJ,0.0,0.0,switched_better_distance
MALL_CF954C70,购物广场,B0HGCLID6R,B0HGCLID6R,B0HGCLID6R,0.0,0.0,switched_better_distance
MALL_AC3B683A,商业中心,B0H0VS1I85,B0H0VS1I85,B0H0VS1I85,0.0,0.0,switched_better_distance
MALL_AED8968D,购物中心,B0H0TUPS8R,B0H0TUPS8R,B0H0TUPS8R,0.0,0.0,switched_better_distance
MALL_E0031BE9,商业中心,B0H0CAUV8Q,B0H0CAUV8Q,B0H0CAUV8Q,0.0,0.0,switched_better_distance
MALL_9FF04F87,购物中心,B0HKNLSJFZ,B0HKNLSJFZ,B0HKNLSJFZ,0.0,0.0,switched_better_distance
MALL_1DA85070,奥特莱斯,B0FFKCI80J,B0FFKCI80J,B0FFKCI80J,0.0,0.0,switched_better_distance
MALL_C6F92704,奥特莱斯,B0H0RCAG9U,B0H0RCAG9U,B0H0RCAG9U,0.0,0.0,switched_better_distance
MALL_AAC70A65,泰盛家和,B0FFHW06A0,B0FFFF9UUH,B0FFFF9UUH,0.0,863.8458514573116,switched_better_distance
MALL_B0EC14F6,万达广场(建设中),B0JK675GIX,B0JK675GIX,B0JK675GIX,0.0,0.0,switched_better_distance
MALL_0B4FFFF5,华联通信城,B0FFKDGMC5,B0IR3HK2KX,B0IR3HK2KX,0.0,31.398552090128817,switched_better_distance
MALL_F8220C7F,购物广场,B0I16OY64Y,B0I16OY64Y,B0I16OY64Y,0.0,0.0,switched_better_distance
MALL_80C953CD,金街,B0FFJBWDKA,B0FFJBWDKA,B0FFJBWDKA,0.0,0.0,switched_better_distance
MALL_A36BD8F8,奥特莱斯,B0L3RKMSFO,B0L3RKMSFO,B0L3RKMSFO,0.0,0.0,switched_better_distance
MALL_4A3B4BAE,万达广场(建设中),B0I1CUAZXP,B0I1CUAZXP,B0I1CUAZXP,0.0,0.0,switched_better_distance
MALL_A074E1BC,亿佰家购物中心,B0GDR5DCNR,B021803ICP,B021803ICP,0.0,0.0,switched_better_distance
MALL_A4062589,购物中心,B0FFMHPFWM,B0FFMHPFWM,B0FFMHPFWM,0.0,0.0,switched_better_distance
MALL_E61A7E47,购物中心,B0LBKHM868,B0LBKHM868,B0LBKHM868,0.0,0.0,switched_better_distance
MALL_2A4DCD9E,购物中心,B0H2NCH62M,B0H2NCH62M,B0H2NCH62M,0.0,0.0,switched_better_distance
MALL_26501140,梦想城婚纱摄影总公司,B0FFFTT16Y,B0L6OZ34O3,B0L6OZ34O3,0.0,30.061501138510547,switched_better_distance
MALL_417D9B01,购物中心,B0HGJSHC8X,B0HGJSHC8X,B0HGJSHC8X,0.0,0.0,switched_better_distance
MALL_DF0CBB62,奥特莱斯,B0L3C6HJHA,B0L3C6HJHA,B0L3C6HJHA,0.0,0.0,switched_better_distance
MALL_B73141F7,购物中心,B015E005W9,B015E005W9,B015E005W9,0.0,0.0,switched_better_distance
MALL_2E025541,购物中心,B0FFIUAGBV,B0FFIUAGBV,B0FFIUAGBV,0.0,0.0,switched_better_distance
MALL_65E48E52,万达广场(建设中),B0H0N5VZ6O,B0H0N5VZ6O,B0H0N5VZ6O,0.0,0.0,switched_better_distance
MALL_F5F04F5B,东悦广场(装修中),B0JKXMNUTS,B0JKXMNUTS,B0JKXMNUTS,0.0,0.0,switched_better_distance
